//Contemporary Chinese For Beginers/Lesson 1 What S Your Surname
您	Nín	you (honorific form)
好	Hǎo	good, well, fine
贵姓	Guìxìng	What's (your) surname?
我	Wǒ	I, me
是	Shì	be
人	Rén	people, person
不	Bù	no, not
名字	Míngzì	name
同学	Tóngxué	classmate
老师	Lǎoshī	teacher
叫	Jiào	be called, be known as
什么	Shénme	what
那国人	nǎ guó rén	what nationality
哪	nǎ	which
国	guó	country
也	yě	also, too
说	shuō	say, speak
英语	Yīngyǔ	English (language)
还是	Háishì	or
法语	Fǎyǔ	French (language)
都	dōu	both, all
只	Zhǐ	only
汉语	Hányǔ	Chinese (language)
加拿大	Jiānádà	Canada
中国	Zhōngguó	China
澳大利亚	Àodàlìyǎ	Australia
美国	Měiguó	USA
西班牙	Xībānyá	Spain
英国	Yīngguó	England
波兰	Bōlán	Poland
意大利	Yìdàlì	Italy
法国	Fàguó	France
对	Duì	you're correct, yes
冷	Lěng	cold
非常	Fēicháng	a lot, very much
一点点	Yī diǎndiǎn	a little bit
老公	Lǎogōng	husband (familiar)
你是哪里人	Nǐ shì nǎlǐ rén?	Where are you from?
你是哪国人	Nǐ shì nǎ guó rén?	What nationality are you?
//Contemporary Chinese For Beginers/Lesson 2 Glad To Meet You
认识	Rènshi	know
很	Hěn	very
高兴	Gāoxìng	glad
在	Zài	(be) in at
进出口	Jìn chūkǒu	import and export
进口	Jìnkǒu	import
出口	Chūkǒu	export
公司	Gōngsī	company
工作	Gōngzuò	work, job
大学	Dàxué	university
学	Xué	school, learn
学习	Xuéxí	to learn
系	Xì	department (of university)
可以	Kěyǐ	may, can
给	Gěi	to , for
打电话	Dǎ diànhuà	to call (phone)
电话	Diànhuà	phone
给 ... 打电话	Gěi ... dǎ diànhuà	to call somebody
我的	Wǒ de	my, mine
我们的	Wǒmen de	our, ours
号码	Hàomǎ	number
零	Líng	zero
发	Fā	send
电子邮件	Diànzǐ yóujiàn	e-mail
邮件	Yóujiàn	mail
电子	Diànzǐ	electronic
这	Zhè	this
