//Contemporary Chinese Textbook 3/Unit 01
红叶	hóngyè	red autumn leaves
著名	zhùmíng	famous; well-known; celebration
当	dàng	work as; use as
当作	dàngzuò	treat as; regard as
书签	shūqiān	bookmark
弄	nòng	do, manage; get sb. or sth. into a specific condition
到处	dàochù	everywhere
国旗	guóqí	national flag
难怪	nánguài	no wonder
之	zhī	(a particle often used as a possesive)
枫叶之国	fēngyèzhīguó	a country of maple leaves
象征	xiàngzhēng	symbol; symbolize
一共	yígòng	altogether; in total
角	jiǎo	corner, angle
从来	cónglái	always; all along
唯一	wéiyī	only, sole
捧	pěng	hold or carry in both hands
摘	zhāi	pick; pluck; take off
像	xiàng	resemble; be like; looks as if
收	shōu	accept, receive
感动	gǎndòng	be moved; touched
流	liú	flow; shed(tears)
眼泪	yǎnlèi	tears
笑话	xiàohua	joke; laugh at
舍不得	shěbude	be grudge; be reluctant to
花	huā	spend
爱情	àiqíng	love, affection
表达	biǎodá	express, convey, voice
重要	zhòngyào	important
颗	kē	(measure word for small and/or round things)
爱惜	àixī	cherish, treasure
生怕	shēngpà	for fear that; lest
//Contemporary Chinese Textbook 3/Unit 02
萝卜	luóbo	radish; turnip
晚会	wǎnhuì	evening party
侄子	zhízi	nephew
周岁	zhōusuì	one full year of life, the first birthday
全	quán	entire; whole; complete; completely
亲戚	qīnqi	relative
祝贺	zhùhè	to congratulate
主角	zhǔjué	leading role; lead, protagonist
夸	kuā	praise; speak highly of
表演	biǎoyǎn	to perform
节目	jiémù	program; performance
大人	dàren	adult
面前	miànqián	in the face of; in front of
抓	zhuā	to grab
将来	jiānglái	future, in the future
有关	yǒuguān	to be related to
巧克力	qiǎokèlì	chocolate
小家伙	xiǎojiāhuo	little fellow
本来	běnlái	original
举行	jǔxíng	to hold (a meeting, ceremony etc)
仪式	yíshì	ceremony
高级	gāojí	high-level; high-grade; advanced
长	zhǎng	to grow
胖	pàng	fat, plump, chubby
聪明	cōngming	smart; bright; clever
活泼	huópō	lively
样子	yàngzi	manner; air; appearance; looks
红包	hóngbāo	red envelope containing money to be given as a gift
盒	hé	box
轻	qīng	light
情义	qíngyì	affection; ties of friendship
重	zhòng	heavy, deep, serious
桌子	zhuōzi	table, desk
玩具	wánjù	toy
手枪	shǒuqiāng	pistol
口红	kǒuhóng	lipstick
摸	mō	to touch; to stroke; to feel
竟然	jìngrán	unexpectedly; to one's surprise; go so far as to
//Contemporary Chinese Textbook 3/Unit 03
过不去	guòbuqù	be hard on; make it difficult for
帮忙	bāngmáng	help, assist
帮	bāng	help, assist
读	dú	read
篇	piān	measure word for an article or text
课文	kèwén	text
录	lù	record
一边。。。一边。。。	yìbiān...yìbiān...	at the time; simultaneously
而且	érqiě	moreover
习惯	xíguàn	habit; be accustomed to
口音	kǒuyīn	accent
地道	dìdao	authentic, pure, idiomatic
主持人	zhǔchírén	host
既。。。又。。。	jì...yòu...	both...and; not only..., but also
奇怪	qíguài	strange, odd
爷爷	yéye	paternal grandfather
移民	yímín	immigrant; to immigrate
提出	tíchū	put forward; advance; raise
申请	shēnqǐng	to apply for; application
移民局	yímínjú	immigration bureau
批准	pīzhǔn	approve; ratify
总是	zǒngshì	always
生	shēng	to give birth to; to be born
中学	zhōngxué	middle school; secondary school
毕业	bìyè	to graduate
实话	shíhuà	truth
情况	qíngkuàng	situation; condition; circumstances
原因	yuányīn	cause, reason
简单	jiǎndān	simple
祖先	zǔxiān	ancestor
世界	shìjiè	world
正常	zhèngcháng	normal; regular; ordinary
也许	yěxǔ	perhaps, maybe
其实	qíshí	actually, in fact
基本	jīběn	basic, fundamental
说不定	shuōbudìng	perhaps, maybe
变成	biànchéng	to change (into), to turn (into)
方言	fāngyán	dialect
//Contemporary Chinese Textbook 3/Unit 04
球赛	qiúsài	ballgame, match
转播	zhuǎnbō	televise, to broadcast
乒乓球	pīngpāngqiú	ping-pong, table tennis
比赛	bǐsài	game; match; competition; to compete
篮球	lánqiú	basketball
原来	yuánlái	originally, at first; original
球队	qiúduì	(ball) team
球星	qiúxīng	star athlete (in a ball game)
老	lǎo	old
迷	mí	be addicted; fan
只要	zhǐyào	only if; as long as, provided that
难道	nándào	is it possible that...; could it be that...
普通	pǔtōng	common, ordinary
比如	bǐrú	for example; for instance; such as
不管	bùguǎn	no matter (what, how, etc.); regardless of
水平	shuǐpíng	level, standard
发明	fāmíng	invention; to invent
留学	liúxué	to study abroad
为了	wèile	for; for the sake of; in order to
完成	wánchéng	to complete; accomplish; to fulfill
体育	tǐyù	physical education
作业	zuòyè	homework, assignment
久	jiǔ	for a long time, long
联系	liánxì	contact
老是	lǎoshì	always
愿意	yuànyì	be willing; want to; be ready
拒绝	jùjué	to refuse; to decline; to reject
经常	jīngcháng	often, frequently
青菜	qīngcài	green vegetables
爱好	àihào	hobby
矮	ǎi	short (height)
球场	qiúchǎng	court
冰球	bīngqiú	ice hockey
偶尔	ǒu'ěr	occasionally
游泳	yóuyǒng	to swim
踢	tī	to kick
足球	zúqiú	soccer
