//HSK Standard Course 3/L01
周末	zhōumò	weekend 
打算	dǎsuàn	to plan; plan 
啊	a	modal partical used at the end of sentence to indicate confirmation 
跟	gēn	with (someone) 
一直	yìzhí	always, continuously
游戏	yóu xì	game 
作业	zuò yè	homework 
着急	zháojí	anxious; worried 
复习	fùxí	to review 
南方	nánfāng	south 
北方	běifāng	north
面包	miànbāo	bread 
带	dài	to bring 
地图	dìtú	map 
搬	bān	to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically 
//HSK Standard Course 3/L02
腿	tuǐ	leg 
疼	téng	pain, ache 
脚	jiǎo	foot, feet 
树	shù	tree 
容易	róngyì	easy 
难	nán	difficult; hard 
太太	tàitai	madam, Mrs., wife
秘书	mì shū	secretary 
经理	jīnglǐ	manager 
办公室	bàngōngshì	office 
辆	liàng	measure word for vehicles 
楼	lóu	floor, multi-storey building 
拿	ná	to take; to get 
把	bǎ	measure word for umbrellas, bunches of things, chairs, bouquet of flowers 
一把伞	yìbǎsǎn	an umbrella 
胖	pàng	fat 
其实	qíshí	actually; in fact 
瘦	shòu	thin, skinny 
//HSK Standard Course 3/L03
还是	hái shì	or 
爬山	páshān	to climb a mountain 
小心	xiǎoxīn	careful 
条	tiáo	measure word for pants and long, thin objects like trousers 
裤子	kùzi	pants, trousers 
记得	jìde	to remember 
衬衫	chènshān	shirt 
元	yuán	a unit of money 
新鲜	xīnxiān	fresh 
甜	tián	sweet 
只	zhǐ	only 
放	fàng	to put; to place 
饮料	yǐn liào	beverage 
或者	huòzhě	or 
舒服	shūfu	comfortable 
花	huā	flower, to expend 
绿	lǜ	green 
//HSK Standard Course 3/L04
比赛	bǐsài	match; competition 
照片	zhàopiàn	photo 
年级	nián jí 	grade
又...又...	yòu...yòu...	both...and... 
聪明	cōngmíng	clever, smart 
热情	rè qíng	warm-hearted, enthusiastic 
努力	nǔlì	hardworking 
总是	zǒng shì	always 
回答	huídá	to answer 
站	zhàn 	to stand 
饿	è	hungry 
超市	chāoshì	supermarket 
蛋糕	dàngāo	cake 
年轻	nián qīng 	young 
认真	rènzhēn	serious, earnest 
客人	kè rén	Customer/guest 
//HSK Standard Course 3/L05
感冒	gǎn mào	a cold, to catch a cold 
发烧	fāshāo	fever (to have a fever) 
咳嗽	ké sòu	cough 
照顾	zhàogù	look after; take care 
季节	jìjié	season 
春天	chūntiān	spring 
夏天	xiàtiān	summer 
秋天	qiūtiān	autumn 
冬天	dōngtiān	winter 
裙子	qúnzi	skirt 
当然	dāngrán	certainly; of course 
草	cǎo	grass 
最近	zuìjìn	recently 
越来越	yuè lái yuè	more and more 
//HSK Standard Course 3/L06
眼睛	yǎnjīng	eyes 
眼镜	yǎnjìng	glasses 
太阳镜	tàiyángjìng	sunglasses 
突然	tūrán	suddenly, unexpectedly
离开	líkāi	to leave, depart
清楚	qīngchu	clear, to understand 
刚才	gāng cái	just now 
帮忙	bāng máng	to help 
特别	tèbié	especially 
讲	jiǎng	to speak, to say, to explain 
明白	míng bai	clear, to understand
锻炼	duànliàn	to exercise 
音乐	yīnyuè	music 
公园	gōng yuán	park 
聊天（儿）	r	to chat (liáo tiān)
睡着	shuìzháo	to fall asleep 
//HSK Standard Course 3/L07
同事	tóngshì	colleague (n.)
以前	yǐqián	before; ago 
银行	yínháng	bank 
久	jiǔ	for a long time, long (adj.)
感兴趣	gǎnxìngqù	be interested in
结婚	jiéhūn	marry, get married 
欢迎	huānyíng	welcome 
迟到	chídào	be late 
半	bàn	half (num.)
接	jiē	to meet (sb.), to pick up (sb.) (v.) 
刻	kè	quater (m.)
差	chà	fall short of 
//HSK Standard Course 3/L08
熊猫	xióngmāo	panda 
可乐	kělè	Coke; cola 
洗手间	xǐshǒujiān	n. bathroom, restroom 
电梯	diàn tī	n. elevator
层	céng	m. used for floors 
害怕	hài pà	to be afraid; to be scared 
见面	jiàn miàn	v. to meet 
变化	biànhuà	v. to change; n. change 
满意	mǎnyì	v. to be satisfied 
安静	ānjìng	quiet 
重要	zhòngyào	important 
老	lǎo	old 
健康	jiànkāng	healthy; health 
一会儿	yíhuìr	in a moment; a little while 
马上	mǎshàng	immediately; at once 
几乎	jīhū	almost, nearly 
又	yòu	again 
//HSK Standard Course 3/L09
中文	Zhōngwén	Chinese language 
班	bān	class, team, shift 
一样	yíyàng	same 
最后	zuìhòu	the last one 
放心	fàngxīn	to feel at ease; take it easy 
一定	yídìng	definitely, certainly 
担心	dān xīn	worry about 
比较	bǐjiào	fairly; comparatively 
了解	liǎo jiě	know/understand 
先	xiān	firstly 
中间	zhōngjiān	middle; center 
参加	cānjiā	to participate, to attend 
影响	yǐngxiǎng	to influence; to have an impact; influence 
//HSK Standard Course 3/L10
地方	dìfang	place 
房子	fángzi	house 
里边	lǐbian	inside 
外边	wàibian	outside 
附近	fùjìn	nearby 
环境	huánjìng	environment; surroundings 
安静	ānjìng	quiet 
主要	zhǔyào	mainly 
车站	chēzhàn	bus stop 
中介	zhōngjiè	agent; act as an intermediary 
个子	gèzi	height, stature 
矮	ǎi	short 
历史	lìshǐ	history 
体育	tǐyù	physical education 
数学	shùxué	math 
方便	fāngbiàn	convenient 
自行车	zìxíngchē	bicycle 
骑	qí	to ride 
旧	jiù	old 
换	huàn	to exchange; to change 
