// HSK Standard Course 4 上/L01
法律	fǎlǜ	n. law
俩	liǎ	num. two, both 
印象	yìnxiàng	n. impression 
深	shēn	adj. deep 
熟悉	shúxi	v. to be familiar with 
不仅......也/还/而且......	bùjǐn...yě/hái/érqiě	conj. not only......but also 
性格	xìnggé	n. character, personality 
开玩笑	kāiwánxiào	to be kidding
从来	cónglái	adv. always, all along 
最好	zuìhǎo	adv. had better 
共同	gòngtóng	adj. common, shared 
适合	shìhé	v. to suit, to fit 
幸福	xìngfú	adj. happy 
生活	shēnghuó	n./v. life; to live 
刚	gāng	adv. just, not long 
浪漫	làngmàn	adj. romantic 
够	gòu	v. to be enough 
缺点	quēdiǎn	n. shortcoming 
接受	jiēshòu	v. accept 
羡慕	xiànmù	v. to envy; to admire
爱情	àiqíng	n. love
星星	xīngxing	n. star 
即使......也......	jíshǐ..., yě...	conj. even if......
加班	jiābān	v. to work overtime
亮	liàng	v. to shine, to be lit 
感动	gǎndòng	v. to touch, to move 
自然	zìrán	adv. naturally, certainly 
原因	yuányīn	n. reason 
互相	hùxiāng	adv. mutually 
吸引	xīyǐn	v. to attract
幽默	yōumò	adj. humourous
脾气	píqì	n. temper, disposition 
// HSK Standard Course 4 上/L02
适应		v. to get used to
交朋友		v. to make friends
交作业		turn in homework
交水电费		pay the utility bill
平时		v. normal times
逛		v. to stroll, to roam
短信		n. text message
正好		just in time, just right
聚会		v./n. to have a party; party, get-together
联系		v. to contact
差不多		adv. almost
专门		adv. specially
毕业		v. to graduate
麻烦		troublesome, inconvenient
好像		adv. as if
重新		adv. once again
尽管		conj. although
真正		adj. true, real
友谊	yǒuyì	n. friendship
丰富		v. to enrich; abundant
无聊		adj. boring
讨厌		to dislike; annoying
却		but; yet
周围		n. surrounding
交流	jiāoliú	v. to exchange, to communicate
理解		v. to understand
镜子		n. mirror
而		adj. while; yet
当		prep. when; just at
困难		n. difficulty
及时		adv. in time
陪		v. to accompany
// HSK Standard Course 4 上/L03
挺......的	tǐng	adv. quite, rather 
紧张	jǐnzhāng	adj. nervous
信心	xìnxīn	n. confidence
能力	nénglì	n. ability, competence
招聘	zhāopìn	v. to recruit
提供	tígōng	v. to provide
负责	fùzé	to be responsible for 
本来	běnlái	adv. originally, at first 
应聘	yìngpìn	to apply for a job
材料	cáiliào	materal, data 
符合	fúhé	to accord with 
通知	tōng zhī	to inform
律师	lǜshī	n. lawyer
专业	zhuānyè	major, specialty 
另外	lìngwài	another;in addition, besides 
收入	shōurù	income 
咱们	zánmen	pron. we, us 
安排	ān pái	to arrange, arrangement
首先	shǒuxiān	pron. first 
正式	zhèngshì	formal 
留	liú	v. to leave 
其次	qícì	pron. second, next 
诚实	chéngshí	adj. honest 
改变	gǎibiàn	v. to change
感觉	gǎnjué	n. feeling 
判断	pànduàn	v. to judge, to decide
顾客	gùkè	n. customer, client
准时	zhǔnshí	ontime, punctual 
不管	bùguǎn	conj. no matter 
与	yú	and, with 
约会	yuēhuì	v. to date, to go to an appointment 
// HSK Standard Course 4 上/L04
提	tí	(v.) to mention 
以为	yǐwéi	thougt that... 
分	fèn	(m.) measure word ~ jobs among other things 
完全	wánquán	(adv.) completely 
赚	zhuàn	(v.) to earn 
调查	diàochá	(v.) to survey; investigate 
原来	yuánlái	(adj.) original 
计划	jìhuà	(n./v.) plan; to intend to 
提前	tíqián	(v.) to do (sth.) in advance; ahead of time 
保证	bǎozhèng	(v.) to guarantee 
提醒	tíxǐng	(v.) to remind 
乱	luàn	(adj.) messy, confused 
生意	shēngyi	(n.) business; trade 
谈	tán	(v.) to talk; discuss 
并	bìng	(adv.) ~used before negative for emphasis 
积累	jīlěi	(v.) to accumulate 
经验	jīngyàn	(n.) experience 
一切	yíqiè	(pron.) all; every 
按照	ànzhào	(prep.) according to 
成功	chénggōng	(adj.) successful 
顺利	shùnlì	(adj.) smooth 
感谢	gǎnxiè	(v.) to thank 
消息	xiāoxi	(n.) news 
按时	ànshí	(adv.) on time; on schedule 
奖金	jiǎngjīn	(n.) bonus; money award 
工资	gōngzī	(n.) pay; salary 
方法	fāngfǎ	(n.) method; way 
知识	zhīshi	(n.) knowledge 
不得不	bù dé bù	(adv.) to have to; to have no choice but to 
甚至	shènzhì	(conj.) even; so far as to 
责任	zérèn	(n.) responsibility; duty 
// HSK Standard Course 4 上/L05
家具	jiājù	n. furniture 
沙发	shāfā	n. sofa 
打折	dǎszhé	v. to give a discount 
价格	jiàgé	n. price 
质量	zhìliang	n. quality 
肯定	kěndìng	adv. surely, certainly 
流行	liúxíng	v. to be popular 
顺便	shùnbiàn	adv. in passing 
台	tái	m.w. used for machines 
光	guāng	adv. only, merely 
实在	shízài	adv. really 
制冷	zhìlěng	v. to refrigerate 
效果	xiàoguǒ	effect 
现金	xiànjīn	cash 
邀请	yāoqǐng	to invite 
艺术	yìshù	art 
葡萄	pútao	grape 
味道	wèidào	taste; flavor 
广告	guǎnggào	advertisement 
优点	yōudiǎn	merit, strong point, virtue 
实际	shíjì	reality; practical 
标准	biāozhǔn	standard 
考虑	kǎolǜ	to consider 
年龄	niánlíng	age 
浪费	làngfèi	to waste 
购物	gòuwù	shop, buy things 
尤其	yóuqí	(adv.) especially 
受到	shòu dào	to receive 
任何	rènhé	pron. any, whatever
样子	yàngzi	n. look, appearance 
寄	jì	to mail, to send 
// HSK Standard Course 4 上/L06
果汁	guǒzhī	juice 
售货员	shòuhuòyuán	shop assistant 
袜子	wàzi	socks
打扰	dǎrǎo	to disturb 
竟然	jìngrán	unexpectedly; to one's surprise 
西红柿	xīhóngshì	tomato 
百分之......	bǎifēnzhī	percent 
倍	bèi	time 
皮肤	pífū	skin 
好处	hǎochù	advantage; benefit 
尝	cháng	taste 
轻	qīng	light 
方面	fāngmiàn	aspect
值得	zhídé	deserve; be worth (v) 
活动	huódòng	activity 
内	nèi	in, within 
免费	miǎnfèi	free of charge 
修理	xiūlǐ	fix, repair 
支持	zhīchí	to support; support 
举行	jǔxíng	to hold 
满	mǎn	full, complete 
其中	qízhōng	among which/whom 
小说	xiǎoshuō	novel; fiction 
会员卡	huìyuánkǎ	membership card 
所有	suǒyǒu	all 
获得	huòdé	Obtain; gain 
情况	qíngkuàng	condition, situation 
例如	lìrú	for example; for instance
举办	jǔbàn	hold 
各	gè 	each; every 
降低	jiàngdī	reduce; cut down; drop; lower
// HSK Standard Course 4 上/L07
流血	liúxiě	v. to bleed 
擦	cā	v. to wipe
气候	qìhòu	n. climate
估计	gūjì	v. estimate 
咳嗽	késou	v. to cough
严重	yánzhòng	adj. serious, grave
窗户	chuānghu	n. window
空气	kōngqì	n. air
抽烟	chōuyān	v. to smoke
动作	dòngzuò	n. action, movement
帅	shuài	adj. handsome
出现	chūxiàn	to appear, to emerge 
后悔	hòuhuǐ	to regret 
来不及	láibùjí	v. to be too late to
反对	fǎnduì	v. to oppose
大夫	dàifu	n. doctor
植物	zhíwù	n. plant
研究	Yánjiū	to study; to do research 
超过	chāo guò	to exceed; to surpass;
散步	sànbù	to take a walk 
指	zhǐ	v. to refer to
精神	jīngshén	spirit; mind; vitality 
教授	jiàoshòu	professor 
数字	shùzì	number 
说明	shuōmíng	explain; show 
要是	yàoshi	conj. if, supposing
既...又...	jì...yòu...	adv. both...and...
减肥	jiǎn féi	to lose weight 
辛苦	xīnkǔ	hard, toilsome 
肚子	dù zi	belly; stomach 
感情	gǎnqíng	n. affection, love 
烦恼	fánnǎo	adj. worried 
掉	diào	V+~ off, up, indicates the result of an action 
// HSK Standard Course 4 上/L08
巧克力	qiǎokèlì	n. chocolate 
亲戚	qīnqi	n. relative 
伤心	shāngxīn	adj. sad, sorrowful 
使	shǐ	v. to make, to cause 
心情	xīnqíng	n. mood 
愉快	yúkuài	adj. glad, cheerful 
景色	jǐngsè	n. scene, view 
放松	fàngsōng	v. to relax 
压力	yālì	pressure, burden 
回忆	huíyì	v. to recall, to call to mind 
发生	fāshēng	v. to happen, to take place 
成为	chéngwéi	to become to turn into (sth/sb good)
只要	zhǐyào	conj. as long as, provided 
师傅	shīfu	a polite title for person with accomplished skills 
大使馆	dàshǐguǎn	n. embassy 
距离	jùlí	distance 
堵车	dǔchē	traffic jam 
生命	shēngmìng	life 
耐心	nàixīn	patience 
